top - 00:04:26 up  1:26,  1 user,  load average: 0.01, 0.09, 0.15
Tasks: 316 total,   1 running, 315 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    202.3 free,   2134.5 used,   1715.4 buff/cache     
MiB Swap:   3771.0 total,   3770.5 free,      0.5 used.   1733.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1886 dev-onb+  20   0   21460   3676   1860 S   0.0   0.1   0:00.00 (sd-pam)
   1897 dev-onb+   9 -11  124192  14804   8896 S   0.0   0.4   0:04.76 pipewire
   1901 dev-onb+  20   0  106404   5948   5180 S   0.0   0.2   0:00.03 pipewire
   1910 dev-onb+   9 -11  415488  18840  13976 S   0.0   0.5   0:00.38 wireplu+
   1911 dev-onb+   9 -11  126024  14324   9588 S   0.0   0.4   0:00.23 pipewir+
   1912 dev-onb+  20   0  325176  10252   9228 S   0.0   0.3   0:00.10 gnome-k+
   1913 dev-onb+  20   0   10788   6460   4668 S   0.0   0.2   0:00.73 dbus-da+
   1954 dev-onb+  20   0  831960   7600   6960 S   0.0   0.2   0:00.07 xdg-doc+
   1958 dev-onb+  20   0  317976   6004   5620 S   0.0   0.2   0:00.03 xdg-per+
   1965 root      20   0    2704   2016   2016 S   0.0   0.1   0:00.00 fusermo+
   1985 dev-onb+  20   0  244336   6072   5688 S   0.0   0.2   0:00.00 gdm-way+
   1989 dev-onb+  20   0  306904  16508  14716 S   0.0   0.4   0:00.06 gnome-s+
   2032 dev-onb+  20   0  162652   6880   6240 S   0.0   0.2   0:00.02 gcr-ssh+
   2033 dev-onb+  20   0  100216   5780   5396 S   0.0   0.1   0:00.01 gnome-s+
   2041 dev-onb+  20   0  322936   8016   7248 S   0.0   0.2   0:00.07 gvfsd
   2070 dev-onb+  20   0  543140   7248   6480 S   0.0   0.2   0:00.00 gvfsd-f+
   2078 dev-onb+  20   0  602888  18136  15576 S   0.0   0.5   0:00.18 gnome-s+
   2119 dev-onb+  20   0 3924772 287608 140768 S   0.0   7.3   1:16.25 gnome-s+
   2120 dev-onb+  20   0  382936   7876   7108 S   0.0   0.2   0:00.02 at-spi-+
   2132 dev-onb+  20   0    9480   5176   4664 S   0.0   0.1   0:00.03 dbus-da+
   2181 dev-onb+  20   0  236068   7644   7004 S   0.0   0.2   0:00.02 at-spi2+
   2205 dev-onb+  20   0  655924  22168  18456 S   0.0   0.6   0:00.12 gnome-s+
   2216 dev-onb+  20   0 1215788  43304  34984 S   0.0   1.1   0:00.33 evoluti+
   2224 dev-onb+  20   0 2671356  27184  22280 S   0.0   0.7   0:00.12 gjs
   2226 dev-onb+  20   0  471240  12476   7156 S   0.0   0.3   0:04.38 ibus-da+
   2227 dev-onb+  20   0  392184   6596   6084 S   0.0   0.2   0:00.03 gsd-a11+
   2228 dev-onb+  20   0  421612  19712  16768 S   0.0   0.5   0:00.16 gsd-col+
   2231 dev-onb+  20   0  440336  12068  10916 S   0.0   0.3   0:00.04 gsd-dat+
   2233 dev-onb+  20   0  467664   7952   7184 S   0.0   0.2   0:00.08 gsd-hou+
   2237 dev-onb+  20   0  419896  18660  15972 S   0.0   0.5   0:00.13 gsd-key+
   2240 dev-onb+  20   0  750172  24420  20836 S   0.0   0.6   0:00.20 gsd-med+
   2242 dev-onb+  20   0  532136  23304  19464 S   0.0   0.6   0:00.18 gsd-pow+
   2244 dev-onb+  20   0  332296  11452  10044 S   0.0   0.3   0:00.04 gsd-pri+
   2248 dev-onb+  20   0  539752   6512   6000 S   0.0   0.2   0:00.02 gsd-rfk+
   2250 dev-onb+  20   0  318228   6392   5880 S   0.0   0.2   0:00.03 gsd-scr+
   2253 dev-onb+  20   0  551852  11492   9956 S   0.0   0.3   0:00.04 gsd-sha+
   2265 dev-onb+  20   0  394484   8324   7428 S   0.0   0.2   0:00.03 gsd-sma+
   2270 dev-onb+  20   0  402300   9824   8672 S   0.0   0.2   0:00.04 gsd-sou+
   2271 dev-onb+  20   0  420868  19244  15916 S   0.0   0.5   0:00.15 gsd-wac+
   2282 dev-onb+  20   0  832312  63556  49860 S   0.0   1.6   0:00.43 evoluti+
   2287 dev-onb+  20   0  305624   7504   6352 S   0.0   0.2   0:00.03 gsd-dis+
   2363 dev-onb+  20   0  555324  24080  20624 S   0.0   0.6   0:00.08 goa-dae+
